File: storage-service
Build ID: e3c710a339b212c68436fcef9509330fa9588c19
Type: cpu
Time: 2025-08-30 21:33:22 CEST
Duration: 30s, Total samples = 30ms (  0.1%)
Showing nodes accounting for 30ms, 100% of 30ms total
      flat  flat%   sum%        cum   cum%
      20ms 66.67% 66.67%       20ms 66.67%  internal/runtime/syscall.Syscall6
      10ms 33.33%   100%       10ms 33.33%  runtime.futex
         0     0%   100%       20ms 66.67%  bufio.(*Writer).Write
         0     0%   100%       20ms 66.67%  github.com/valyala/fasthttp.(*Response).Write
         0     0%   100%       20ms 66.67%  github.com/valyala/fasthttp.(*Server).serveConn
         0     0%   100%       20ms 66.67%  github.com/valyala/fasthttp.(*workerPool).getCh.func1
         0     0%   100%       20ms 66.67%  github.com/valyala/fasthttp.(*workerPool).workerFunc
         0     0%   100%       20ms 66.67%  github.com/valyala/fasthttp.writeResponse
         0     0%   100%       20ms 66.67%  internal/poll.(*FD).Write
         0     0%   100%       20ms 66.67%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       20ms 66.67%  net.(*conn).Write
         0     0%   100%       20ms 66.67%  net.(*netFD).Write
         0     0%   100%       10ms 33.33%  runtime.futexwakeup
         0     0%   100%       10ms 33.33%  runtime.mcall
         0     0%   100%       10ms 33.33%  runtime.notewakeup
         0     0%   100%       10ms 33.33%  runtime.park_m
         0     0%   100%       10ms 33.33%  runtime.resetspinning
         0     0%   100%       10ms 33.33%  runtime.schedule
         0     0%   100%       10ms 33.33%  runtime.startm
         0     0%   100%       10ms 33.33%  runtime.wakep
         0     0%   100%       20ms 66.67%  syscall.RawSyscall6
         0     0%   100%       20ms 66.67%  syscall.Syscall
         0     0%   100%       20ms 66.67%  syscall.Write (inline)
         0     0%   100%       20ms 66.67%  syscall.write
