File: storage-service
Build ID: e3c710a339b212c68436fcef9509330fa9588c19
Type: goroutine
Time: 2025-08-30 21:33:53 CEST
Showing nodes accounting for 12, 100% of 12 total
      flat  flat%   sum%        cum   cum%
        10 83.33% 83.33%         10 83.33%  runtime.gopark
         1  8.33% 91.67%          1  8.33%  runtime.goroutineProfileWithLabels
         1  8.33%   100%          1  8.33%  syscall.Syscall
         0     0%   100%          1  8.33%  bufio.(*Reader).Peek
         0     0%   100%          1  8.33%  bufio.(*Reader).fill
         0     0%   100%          1  8.33%  database/sql.(*DB).connectionCleaner
         0     0%   100%          1  8.33%  database/sql.(*DB).connectionOpener
         0     0%   100%          1  8.33%  github.com/gofiber/fiber/v2.(*App).Listen
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.(*Server).Serve
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.(*Server).serveConn
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.(*workerPool).Start.func2
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.(*workerPool).getCh.func1
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.(*workerPool).workerFunc
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.acceptConn
         0     0%   100%          1  8.33%  github.com/valyala/fasthttp.updateServerDate.func1
         0     0%   100%          1  8.33%  gorm.io/gorm/internal/lru.NewLRU[go.shape.string,go.shape.*uint8].func1
         0     0%   100%          2 16.67%  internal/poll.(*FD).Accept
         0     0%   100%          2 16.67%  internal/poll.(*FD).Read
         0     0%   100%          3 25.00%  internal/poll.(*pollDesc).wait
         0     0%   100%          3 25.00%  internal/poll.(*pollDesc).waitRead (inline)
         0     0%   100%          1  8.33%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%          3 25.00%  internal/poll.runtime_pollWait
         0     0%   100%          1  8.33%  main.main
         0     0%   100%          1  8.33%  main.main.func1
         0     0%   100%          2 16.67%  net.(*TCPListener).Accept
         0     0%   100%          2 16.67%  net.(*TCPListener).accept
         0     0%   100%          2 16.67%  net.(*conn).Read
         0     0%   100%          2 16.67%  net.(*netFD).Read
         0     0%   100%          2 16.67%  net.(*netFD).accept
         0     0%   100%          1  8.33%  net/http.(*ServeMux).ServeHTTP
         0     0%   100%          1  8.33%  net/http.(*Server).ListenAndServe
         0     0%   100%          1  8.33%  net/http.(*Server).Serve
         0     0%   100%          1  8.33%  net/http.(*conn).serve
         0     0%   100%          1  8.33%  net/http.(*connReader).backgroundRead
         0     0%   100%          1  8.33%  net/http.HandlerFunc.ServeHTTP
         0     0%   100%          1  8.33%  net/http.ListenAndServe (inline)
         0     0%   100%          1  8.33%  net/http.serverHandler.ServeHTTP
         0     0%   100%          1  8.33%  net/http/pprof.Index
         0     0%   100%          1  8.33%  net/http/pprof.handler.ServeHTTP
         0     0%   100%          1  8.33%  runtime.chanrecv
         0     0%   100%          1  8.33%  runtime.chanrecv2
         0     0%   100%          1  8.33%  runtime.main
         0     0%   100%          3 25.00%  runtime.netpollblock
         0     0%   100%          1  8.33%  runtime.pprof_goroutineProfileWithLabels
         0     0%   100%          4 33.33%  runtime.selectgo
         0     0%   100%          1  8.33%  runtime/pprof.(*Profile).WriteTo
         0     0%   100%          1  8.33%  runtime/pprof.writeGoroutine
         0     0%   100%          1  8.33%  runtime/pprof.writeRuntimeProfile
         0     0%   100%          1  8.33%  storage-service/internal/services.(*CacheService).preloadWorker
         0     0%   100%          1  8.33%  storage-service/internal/services/caches.(*MemoryCache).cleanupRoutine
         0     0%   100%          1  8.33%  syscall.Read (inline)
         0     0%   100%          1  8.33%  syscall.read
         0     0%   100%          2 16.67%  time.Sleep
