File: storage-service
Build ID: e3c710a339b212c68436fcef9509330fa9588c19
Type: inuse_space
Time: 2025-08-30 21:33:52 CEST
Showing nodes accounting for 75.44MB, 100% of 75.44MB total
      flat  flat%   sum%        cum   cum%
   70.91MB 94.00% 94.00%    70.91MB 94.00%  storage-service/internal/services/caches.(*MemoryCache).Store
    1.50MB  1.99% 95.99%     1.50MB  1.99%  runtime.allocm
       1MB  1.33% 97.32%        1MB  1.33%  regexp/syntax.(*compiler).inst (inline)
    0.52MB  0.68% 98.00%     0.52MB  0.68%  io.copyBuffer
    0.51MB  0.67% 98.67%     0.51MB  0.67%  encoding/xml.map.init.0
    0.50MB  0.66% 99.34%     0.50MB  0.66%  runtime.(*scavengerState).init
    0.50MB  0.66%   100%     0.50MB  0.66%  github.com/jackc/pgx/v5/pgconn.(*PgConn).Prepare
         0     0%   100%     0.52MB  0.68%  bufio.(*Writer).ReadFrom
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).PrepareContext
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).PrepareContext.func1
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).prepare
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).prepareDC
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).prepareDC.func2
         0     0%   100%     0.50MB  0.66%  database/sql.(*DB).retry
         0     0%   100%     0.50MB  0.66%  database/sql.(*driverConn).prepareLocked
         0     0%   100%     0.50MB  0.66%  database/sql.ctxDriverPrepare
         0     0%   100%     0.50MB  0.66%  database/sql.withLock
         0     0%   100%     0.51MB  0.67%  encoding/xml.init
         0     0%   100%     0.50MB  0.66%  github.com/jackc/pgx/v5.(*Conn).Prepare
         0     0%   100%     0.50MB  0.66%  github.com/jackc/pgx/v5/stdlib.(*Conn).PrepareContext
         0     0%   100%     0.50MB  0.66%  github.com/jinzhu/inflection.compile
         0     0%   100%     0.50MB  0.66%  github.com/jinzhu/inflection.init.0
         0     0%   100%     0.50MB  0.66%  github.com/minio/minio-go/v7/pkg/s3utils.init
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.(*Response).Write
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.(*Response).writeBodyStream
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.(*Server).serveConn
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.(*workerPool).getCh.func1
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.(*workerPool).workerFunc
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.copyZeroAlloc
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.writeBodyFixedSize
         0     0%   100%     0.52MB  0.68%  github.com/valyala/fasthttp.writeResponse
         0     0%   100%     0.50MB  0.66%  gorm.io/driver/postgres.Migrator.HasIndex
         0     0%   100%     0.50MB  0.66%  gorm.io/driver/postgres.Migrator.HasIndex.func1
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*DB).AutoMigrate
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*DB).Rows
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*DB).Scan
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*PreparedStmtDB).QueryContext
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*PreparedStmtDB).prepare
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm.(*processor).Execute
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm/callbacks.RowQuery
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm/internal/stmt_store.(*lruStore).New
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm/migrator.Migrator.AutoMigrate
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm/migrator.Migrator.AutoMigrate.func1
         0     0%   100%     0.50MB  0.66%  gorm.io/gorm/migrator.Migrator.RunWithValue
         0     0%   100%     0.52MB  0.68%  io.Copy (inline)
         0     0%   100%     0.50MB  0.66%  main.MigrateDatabase
         0     0%   100%     0.50MB  0.66%  main.main
         0     0%   100%     0.52MB  0.68%  net.(*TCPConn).ReadFrom
         0     0%   100%     0.52MB  0.68%  net.(*TCPConn).readFrom
         0     0%   100%     0.52MB  0.68%  net.genericReadFrom
         0     0%   100%        1MB  1.33%  regexp.Compile (inline)
         0     0%   100%        1MB  1.33%  regexp.MustCompile
         0     0%   100%        1MB  1.33%  regexp.compile
         0     0%   100%     0.50MB  0.66%  regexp/syntax.(*compiler).compile
         0     0%   100%     0.50MB  0.66%  regexp/syntax.(*compiler).rune
         0     0%   100%        1MB  1.33%  regexp/syntax.Compile
         0     0%   100%     0.50MB  0.66%  runtime.bgscavenge
         0     0%   100%     1.51MB  2.00%  runtime.doInit (inline)
         0     0%   100%     1.51MB  2.00%  runtime.doInit1
         0     0%   100%     2.01MB  2.66%  runtime.main
         0     0%   100%     1.50MB  1.99%  runtime.mstart
         0     0%   100%     1.50MB  1.99%  runtime.mstart0
         0     0%   100%     1.50MB  1.99%  runtime.mstart1
         0     0%   100%     1.50MB  1.99%  runtime.newm
         0     0%   100%     1.50MB  1.99%  runtime.resetspinning
         0     0%   100%     1.50MB  1.99%  runtime.schedule
         0     0%   100%     1.50MB  1.99%  runtime.startm
         0     0%   100%     1.50MB  1.99%  runtime.wakep
         0     0%   100%    70.91MB 94.00%  storage-service/internal/services.(*CacheService).preloadWorker
         0     0%   100%    70.91MB 94.00%  storage-service/internal/services.(*CacheService).preloadWorker.func1
